new_job_description_id,hist_job_description_id,desc_score
01695d973c707758c80d1f2d8e959816,01695d973c707758c80d1f2d8e959816,100
067730bb2fa6e4a1e89d8817299d05f2,20b99f132aae9fcad203514a5aac1b94,100
1a4e6daffb562c5cab38d27cbf71457b,1a4e6daffb562c5cab38d27cbf71457b,100
13eb0d410e286118d20b94b89e2490ed,30a84672ba98819a9b8658ed4d600ff9,95
357c7352285f9197ff2fb2f1af20d6cf,08ab7e14e3dbee59cf15860107689a8f,100
12230a5d55d00daf1d7ab8e45fad6c4f,8254acfd711298a92cff652524acd854,99
25c4e72cb6f37f1177d174b46d8f1c7a,51c5651c148a075a26fe723966c2db40,99
09cdd954e14fa12cbf1b062f68f8d59e,8192e41e8676e251452d32219181aeff,96
434f87168be8d5b503c8753f1ed065e4,1b44262aa43e9ddde94c7b4bb8c409bc,95
451f30a32c144010d399676fcebf3569,451f30a32c144010d399676fcebf3569,100
2e6d9c968e0db5a43e4b60a2cef51b0a,d3608c36164e46f351eb47c58d6cbd07,96
61c82b294f6ca1e4201d4c4c50a82eb3,1e1ed7752a655e0fcdfe9aa372d12351,100
2e08ab785d754086f91023180ac4c62e,aa8c7b154abef2a070636c7036ef9b46,99
5289ba94547444de1735878dea1085f7,5289ba94547444de1735878dea1085f7,100
6e40cd5a78c2832491879df6e65fe5ad,6e40cd5a78c2832491879df6e65fe5ad,100
754aa2fa6a6acb3418eca4ce2213e737,333583da3b900c2f0863688fdf90b24b,93
8f823bfd7504fd65c23c570ad5624c14,407e04b4c8229bece23a0716ad86017d,100
6353222a71ac7b9075395b4dcff55d9d,60b5574820a0f4ae97bd7877d5747ef8,96
6bd317ab30a8c959d9874f6492233aad,6bd317ab30a8c959d9874f6492233aad,100
8948cbb4553b5168ce4767a5fe9dcf9d,5f3e713cdb3092b31abf03338a806462,100
8192e41e8676e251452d32219181aeff,747940d2ef0a8501a42e553223ada895,91
604d1c8536d80289f78df953202b303a,8140c9fb1d9de463b048dd6cc4aac0d0,95
ada76dc6c3b9a68d2f12ca905fa0c924,337287bb2c9a2eae668e1aa6d027ecf0,100
8192e41e8676e251452d32219181aeff,8192e41e8676e251452d32219181aeff,100
6df36dde9721ea8f85d4d10a910693d3,60a05312f3ec5b143e6737e69d374a10,99
8d64224260e0aec48c64248ce98e2875,52e1b46c9734943a8367fb386e5cc2ad,100
903989b01c56ca2a114910085145980a,903989b01c56ca2a114910085145980a,100
8948cbb4553b5168ce4767a5fe9dcf9d,8948cbb4553b5168ce4767a5fe9dcf9d,100
6f680b2ca02536fda3886168888b2ca7,6f680b2ca02536fda3886168888b2ca7,100
936a4dfc8156e08d182274d920287dc9,62325054a28cd7b189ac3ea80614d826,100
ccdf1bf79807b4788c6e37930cb1b5a5,1e2a0e4fd32e58dc160c55116abad56f,100
e38bfe6121b14c04ff62ac9184495d29,0d86252aaa9c72dd1c46f661ebd28b11,100
754aa2fa6a6acb3418eca4ce2213e737,932913f84846adaba2d38a1c1a8ab65f,93
8192e41e8676e251452d32219181aeff,a0d21493aa4481dd4d9f9f882035ab01,94
aa51a4095288ab217ec3cf89d949896b,3bcd893c23783114638a075dc6b8a812,100
d75772ed3fb74d63a93b29f1cbbfb82e,2297b60f02bf4aafc6044da9754e5455,100
